2022-03-08 15:35:10.289 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 15:35:10.289 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 15:36:03.664 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 15:36:03.664 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 15:36:22.479 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 15:36:22.479 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 15:39:01.547 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 15:39:01.547 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:09:04.729 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:09:04.729 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:09:50.351 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:09:50.351 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:10:05.807 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:10:05.807 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:13:06.867 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:13:06.867 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:21:46.903 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:21:46.903 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:21:59.088 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:21:59.088 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:28:30.561 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:28:30.561 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 16:28:30.561 | INFO     | __main__:<module>:5 - Import all bot
2022-03-08 16:30:08.820 | INFO     | bot.bot.services:<module>:20 - Import services
2022-03-08 16:30:08.820 | INFO     | bot.bot:<module>:5 - Import all bot
2022-03-08 17:01:56.793 | INFO     | bot.bot.util:start_bot_from_code:27 - Bot Started
2022-03-09 10:21:58.230 | INFO     | bot.bot.util:start_bot_from_code:27 - Bot Started
2022-03-09 10:26:48.032 | INFO     | bot.bot.util:start_bot_from_code:27 - Bot Started
2022-03-09 10:43:54.959 | INFO     | bot.bot.util:start_bot_from_code:27 - Bot Started
2022-03-09 10:51:34.897 | INFO     | bot.bot.util:start_bot_from_code:27 - Bot Started
2022-03-09 13:03:47.554 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 13:03:47.554 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 13:04:08.692 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 13:04:08.692 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 13:04:42.946 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 13:04:42.946 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 13:04:58.028 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 13:04:58.028 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 14:12:08.818 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 14:12:08.818 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 15:45:45.694 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 15:45:45.709 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 15:46:18.996 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 15:46:18.996 | INFO     | bot:<module>:5 - Import all bot
2022-03-09 17:04:33.726 | INFO     | bot.services:<module>:20 - Import services
2022-03-09 17:04:33.726 | INFO     | bot:<module>:5 - Import all bot
2022-03-10 11:10:41.003 | INFO     | bot.services:<module>:20 - Import services
2022-03-10 11:10:41.003 | INFO     | bot:<module>:5 - Import all bot
2022-03-14 10:38:35.112 | INFO     | bot.services:<module>:20 - Import services
2022-03-14 10:38:35.127 | INFO     | bot:<module>:5 - Import all bot
2022-03-14 14:38:41.493 | INFO     | bot.services:<module>:20 - Import services
2022-03-14 14:38:41.508 | INFO     | bot:<module>:5 - Import all bot
2022-03-15 11:17:15.775 | INFO     | bot.services:<module>:20 - Import services
2022-03-15 11:17:15.835 | INFO     | bot:<module>:5 - Import all bot
2022-03-15 11:17:21.065 | INFO     | bot.services:<module>:20 - Import services
2022-03-15 11:17:21.065 | INFO     | bot:<module>:5 - Import all bot
2022-03-15 11:17:27.055 | INFO     | bot.services:<module>:20 - Import services
2022-03-15 11:17:27.055 | INFO     | bot:<module>:5 - Import all bot
